"","DBN","SCH_NAME","Cohort.Year","Cohort.Category","Total_Cohort_Num","Total_Grads_Num","Total_Grads_Pct","Total_Regents_Num","TR_Pct_of_Cohort","TR_Pct_of_Grads","Advanced_Regents_Num","AR_Pct_of_Cohort","AR_Pct_of_Grads","Regents_wo_Advanced_Num","RwA_Pct_of_Cohort","RwA_Pct_of_Grads","Local_Num","Local_Pct_of_Cohort","Local_Pct_of_Grads","Still_Enrolled_Num","Still_Enrolled_Pct","Dropped_Out_Num","Dropped_Out_Pct"
"2809","02M655","LIFE SCIENCES SECONDARY SCHOOL",2008,"6 Year",115,86,"74.8%",77,"67.0%","89.5%",11,"9.6%","12.8%",66,"57.4%","76.7%",9,"7.8%","10.5%",2,"1.7%",26,"22.6%"
"2810","02M655","LIFE SCIENCES SECONDARY SCHOOL",2009,"4 Year  June",130,81,"62.3%",77,"59.2%","95.1%",8,"6.2%","9.9%",69,"53.1%","85.2%",4,"3.1%","4.9%",31,"23.8%",12,"9.2%"
"2811","02M655","LIFE SCIENCES SECONDARY SCHOOL",2009,"4 Year August",130,84,"64.6%",80,"61.5%","95.2%",8,"6.2%","9.5%",72,"55.4%","85.7%",4,"3.1%","4.8%",28,"21.5%",12,"9.2%"
"2812","02M655","LIFE SCIENCES SECONDARY SCHOOL",2009,"5 Year  June",128,88,"68.8%",83,"64.8%","94.3%",8,"6.3%","9.1%",75,"58.6%","85.2%",5,"3.9%","5.7%",5,"3.9%",28,"21.9%"
"2813","02M655","LIFE SCIENCES SECONDARY SCHOOL",2009,"5 Year August",128,88,"68.8%",83,"64.8%","94.3%",8,"6.3%","9.1%",75,"58.6%","85.2%",5,"3.9%","5.7%",5,"3.9%",28,"21.9%"
"2814","02M655","LIFE SCIENCES SECONDARY SCHOOL",2009,"6 Year",126,89,"70.6%",84,"66.7%","94.4%",8,"6.3%","9.0%",76,"60.3%","85.4%",5,"4.0%","5.6%",2,"1.6%",28,"22.2%"
"2815","02M655","LIFE SCIENCES SECONDARY SCHOOL",2010,"4 Year  June",145,105,"72.4%",93,"64.1%","88.6%",14,"9.7%","13.3%",79,"54.5%","75.2%",12,"8.3%","11.4%",27,"18.6%",11,"7.6%"
"2816","02M655","LIFE SCIENCES SECONDARY SCHOOL",2010,"4 Year August",145,112,"77.2%",99,"68.3%","88.4%",14,"9.7%","12.5%",85,"58.6%","75.9%",13,"9.0%","11.6%",20,"13.8%",11,"7.6%"
"2817","02M655","LIFE SCIENCES SECONDARY SCHOOL",2010,"5 Year  June",138,115,"83.3%",101,"73.2%","87.8%",14,"10.1%","12.2%",87,"63.0%","75.7%",14,"10.1%","12.2%",7,"5.1%",13,"9.4%"
"2818","02M655","LIFE SCIENCES SECONDARY SCHOOL",2010,"5 Year August",138,115,"83.3%",101,"73.2%","87.8%",14,"10.1%","12.2%",87,"63.0%","75.7%",14,"10.1%","12.2%",7,"5.1%",13,"9.4%"
"2819","02M655","LIFE SCIENCES SECONDARY SCHOOL",2011,"4 Year  June",153,123,"80.4%",119,"77.8%","96.7%",23,"15.0%","18.7%",96,"62.7%","78.0%",4,"2.6%","3.3%",18,"11.8%",12,"7.8%"
"2820","02M655","LIFE SCIENCES SECONDARY SCHOOL",2011,"4 Year August",153,125,"81.7%",121,"79.1%","96.8%",23,"15.0%","18.4%",98,"64.1%","78.4%",4,"2.6%","3.2%",16,"10.5%",12,"7.8%"
"2821","02M690","SCHOOL FOR THE PHYSICAL CITY",2001,"4 Year  June",47,23,"48.9%",10,"21.3%","43.5%",0,"0.0%","0.0%",10,"21.3%","43.5%",13,"27.7%","56.5%",10,"21.3%",12,"25.5%"
"2822","02M690","SCHOOL FOR THE PHYSICAL CITY",2001,"5 Year  June",47,27,"57.4%",10,"21.3%","37.0%",0,"0.0%","0.0%",10,"21.3%","37.0%",17,"36.2%","63.0%",3,"6.4%",15,"31.9%"
"2823","02M690","SCHOOL FOR THE PHYSICAL CITY",2001,"6 Year",47,29,"61.7%",10,"21.3%","34.5%",0,"0.0%","0.0%",10,"21.3%","34.5%",19,"40.4%","65.5%",0,"0.0%",16,"34.0%"
"2824","02M690","SCHOOL FOR THE PHYSICAL CITY",2002,"4 Year  June",31,14,"45.2%",9,"29.0%","64.3%",0,"0.0%","0.0%",9,"29.0%","64.3%",5,"16.1%","35.7%",6,"19.4%",10,"32.3%"
"2825","02M690","SCHOOL FOR THE PHYSICAL CITY",2002,"5 Year  June",31,16,"51.6%",9,"29.0%","56.3%",0,"0.0%","0.0%",9,"29.0%","56.3%",7,"22.6%","43.8%",2,"6.5%",12,"38.7%"
"2826","02M690","SCHOOL FOR THE PHYSICAL CITY",2002,"6 Year",31,16,"51.6%",9,"29.0%","56.3%",0,"0.0%","0.0%",9,"29.0%","56.3%",7,"22.6%","43.8%",0,"0.0%",13,"41.9%"
"2827","02M690","SCHOOL FOR THE PHYSICAL CITY",2003,"4 Year  June",41,14,"34.1%",8,"19.5%","57.1%",0,"0.0%","0.0%",8,"19.5%","57.1%",6,"14.6%","42.9%",14,"34.1%",11,"26.8%"
"2828","02M690","SCHOOL FOR THE PHYSICAL CITY",2003,"5 Year  June",41,19,"46.3%",10,"24.4%","52.6%",0,"0.0%","0.0%",10,"24.4%","52.6%",9,"22.0%","47.4%",5,"12.2%",15,"36.6%"
"2829","02M690","SCHOOL FOR THE PHYSICAL CITY",2003,"6 Year",40,20,"50.0%",10,"25.0%","50.0%",0,"0.0%","0.0%",10,"25.0%","50.0%",10,"25.0%","50.0%",2,"5.0%",15,"37.5%"
"2830","02M690","SCHOOL FOR THE PHYSICAL CITY",2004,"4 Year  June",64,24,"37.5%",10,"15.6%","41.7%",0,"0.0%","0.0%",10,"15.6%","41.7%",14,"21.9%","58.3%",23,"35.9%",17,"26.6%"
"2831","02M690","SCHOOL FOR THE PHYSICAL CITY",2004,"5 Year  June",58,28,"48.3%",10,"17.2%","35.7%",0,"0.0%","0.0%",10,"17.2%","35.7%",18,"31.0%","64.3%",6,"10.3%",20,"34.5%"
"2832","02M690","SCHOOL FOR THE PHYSICAL CITY",2004,"6 Year",59,30,"50.8%",11,"18.6%","36.7%",0,"0.0%","0.0%",11,"18.6%","36.7%",19,"32.2%","63.3%",0,"0.0%",22,"37.3%"
"2833","02M690","SCHOOL FOR THE PHYSICAL CITY",2005,"4 Year  June",62,23,"37.1%",5,"8.1%","21.7%",0,"0.0%","0.0%",5,"8.1%","21.7%",18,"29.0%","78.3%",27,"43.5%",4,"6.5%"
"2834","02M690","SCHOOL FOR THE PHYSICAL CITY",2005,"4 Year August",62,27,"43.5%",6,"9.7%","22.2%",0,"0.0%","0.0%",6,"9.7%","22.2%",21,"33.9%","77.8%",23,"37.1%",4,"6.5%"
"2835","02M690","SCHOOL FOR THE PHYSICAL CITY",2005,"5 Year  June",60,31,"51.7%",6,"10.0%","19.4%",0,"0.0%","0.0%",6,"10.0%","19.4%",25,"41.7%","80.6%",6,"10.0%",14,"23.3%"
"2836","02M690","SCHOOL FOR THE PHYSICAL CITY",2005,"6 Year",58,31,"53.4%",6,"10.3%","19.4%",0,"0.0%","0.0%",6,"10.3%","19.4%",25,"43.1%","80.6%",4,"6.9%",14,"24.1%"
"2837","02M690","SCHOOL FOR THE PHYSICAL CITY",2006,"4 Year  June",46,23,"50.0%",9,"19.6%","39.1%",0,"0.0%","0.0%",9,"19.6%","39.1%",14,"30.4%","60.9%",11,"23.9%",10,"21.7%"
"2838","02M690","SCHOOL FOR THE PHYSICAL CITY",2006,"4 Year August",46,23,"50.0%",9,"19.6%","39.1%",0,"0.0%","0.0%",9,"19.6%","39.1%",14,"30.4%","60.9%",11,"23.9%",10,"21.7%"
"2839","02M690","SCHOOL FOR THE PHYSICAL CITY",2006,"5 Year  June",44,23,"52.3%",9,"20.5%","39.1%",0,"0.0%","0.0%",9,"20.5%","39.1%",14,"31.8%","60.9%",6,"13.6%",13,"29.5%"
"2840","02M690","SCHOOL FOR THE PHYSICAL CITY",2006,"5 Year August",44,23,"52.3%",9,"20.5%","39.1%",0,"0.0%","0.0%",9,"20.5%","39.1%",14,"31.8%","60.9%",6,"13.6%",13,"29.5%"
"2841","02M690","SCHOOL FOR THE PHYSICAL CITY",2006,"6 Year",44,23,"52.3%",9,"20.5%","39.1%",0,"0.0%","0.0%",9,"20.5%","39.1%",14,"31.8%","60.9%",6,"13.6%",13,"29.5%"
"2842","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2002,"4 Year  June",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2843","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2002,"5 Year  June",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2844","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2002,"6 Year",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2845","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2003,"4 Year  June",2,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2846","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2003,"5 Year  June",2,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2847","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2003,"6 Year",2,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2848","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2004,"4 Year  June",56,28,"50.0%",8,"14.3%","28.6%",1,"1.8%","3.6%",7,"12.5%","25.0%",20,"35.7%","71.4%",19,"33.9%",9,"16.1%"
"2849","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2004,"5 Year  June",46,34,"73.9%",8,"17.4%","23.5%",1,"2.2%","2.9%",7,"15.2%","20.6%",26,"56.5%","76.5%",0,"0.0%",9,"19.6%"
"2850","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2004,"6 Year",48,33,"68.8%",8,"16.7%","24.2%",1,"2.1%","3.0%",7,"14.6%","21.2%",25,"52.1%","75.8%",1,"2.1%",12,"25.0%"
"2851","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2005,"4 Year  June",48,44,"91.7%",18,"37.5%","40.9%",0,"0.0%","0.0%",18,"37.5%","40.9%",26,"54.2%","59.1%",0,"0.0%",1,"2.1%"
"2852","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2005,"4 Year August",48,44,"91.7%",18,"37.5%","40.9%",0,"0.0%","0.0%",18,"37.5%","40.9%",26,"54.2%","59.1%",0,"0.0%",1,"2.1%"
"2853","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2005,"5 Year  June",61,51,"83.6%",19,"31.1%","37.3%",0,"0.0%","0.0%",19,"31.1%","37.3%",32,"52.5%","62.7%",1,"1.6%",5,"8.2%"
"2854","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2005,"6 Year",60,51,"85.0%",19,"31.7%","37.3%",0,"0.0%","0.0%",19,"31.7%","37.3%",32,"53.3%","62.7%",0,"0.0%",6,"10.0%"
"2855","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2006,"4 Year  June",74,41,"55.4%",17,"23.0%","41.5%",0,"0.0%","0.0%",17,"23.0%","41.5%",24,"32.4%","58.5%",22,"29.7%",6,"8.1%"
"2856","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2006,"4 Year August",74,43,"58.1%",18,"24.3%","41.9%",0,"0.0%","0.0%",18,"24.3%","41.9%",25,"33.8%","58.1%",20,"27.0%",6,"8.1%"
"2857","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2006,"5 Year  June",67,45,"67.2%",18,"26.9%","40.0%",0,"0.0%","0.0%",18,"26.9%","40.0%",27,"40.3%","60.0%",4,"6.0%",14,"20.9%"
"2858","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2006,"5 Year August",67,45,"67.2%",18,"26.9%","40.0%",0,"0.0%","0.0%",18,"26.9%","40.0%",27,"40.3%","60.0%",4,"6.0%",14,"20.9%"
"2859","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2006,"6 Year",64,47,"73.4%",18,"28.1%","38.3%",0,"0.0%","0.0%",18,"28.1%","38.3%",29,"45.3%","61.7%",1,"1.6%",13,"20.3%"
"2860","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2007,"4 Year  June",91,25,"27.5%",15,"16.5%","60.0%",0,"0.0%","0.0%",15,"16.5%","60.0%",10,"11.0%","40.0%",44,"48.4%",17,"18.7%"
"2861","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2007,"4 Year August",91,42,"46.2%",20,"22.0%","47.6%",0,"0.0%","0.0%",20,"22.0%","47.6%",22,"24.2%","52.4%",27,"29.7%",17,"18.7%"
"2862","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2007,"5 Year  June",85,46,"54.1%",20,"23.5%","43.5%",0,"0.0%","0.0%",20,"23.5%","43.5%",26,"30.6%","56.5%",13,"15.3%",24,"28.2%"
"2863","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2007,"5 Year August",85,46,"54.1%",20,"23.5%","43.5%",0,"0.0%","0.0%",20,"23.5%","43.5%",26,"30.6%","56.5%",13,"15.3%",24,"28.2%"
"2864","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2007,"6 Year",80,46,"57.5%",20,"25.0%","43.5%",0,"0.0%","0.0%",20,"25.0%","43.5%",26,"32.5%","56.5%",3,"3.8%",29,"36.3%"
"2865","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2008,"4 Year  June",74,32,"43.2%",31,"41.9%","96.9%",0,"0.0%","0.0%",31,"41.9%","96.9%",1,"1.4%","3.1%",31,"41.9%",9,"12.2%"
"2866","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2008,"4 Year August",74,36,"48.6%",35,"47.3%","97.2%",0,"0.0%","0.0%",35,"47.3%","97.2%",1,"1.4%","2.8%",27,"36.5%",9,"12.2%"
"2867","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2008,"5 Year  June",69,42,"60.9%",39,"56.5%","92.9%",0,"0.0%","0.0%",39,"56.5%","92.9%",3,"4.3%","7.1%",7,"10.1%",18,"26.1%"
"2868","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2008,"5 Year August",69,42,"60.9%",39,"56.5%","92.9%",0,"0.0%","0.0%",39,"56.5%","92.9%",3,"4.3%","7.1%",7,"10.1%",18,"26.1%"
"2869","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2008,"6 Year",67,44,"65.7%",41,"61.2%","93.2%",0,"0.0%","0.0%",41,"61.2%","93.2%",3,"4.5%","6.8%",5,"7.5%",16,"23.9%"
"2870","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2009,"4 Year  June",68,32,"47.1%",28,"41.2%","87.5%",1,"1.5%","3.1%",27,"39.7%","84.4%",4,"5.9%","12.5%",18,"26.5%",14,"20.6%"
"2871","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2009,"4 Year August",68,35,"51.5%",31,"45.6%","88.6%",1,"1.5%","2.9%",30,"44.1%","85.7%",4,"5.9%","11.4%",15,"22.1%",14,"20.6%"
"2872","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2009,"5 Year  June",67,42,"62.7%",37,"55.2%","88.1%",1,"1.5%","2.4%",36,"53.7%","85.7%",5,"7.5%","11.9%",6,"9.0%",16,"23.9%"
"2873","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2009,"5 Year August",67,42,"62.7%",37,"55.2%","88.1%",1,"1.5%","2.4%",36,"53.7%","85.7%",5,"7.5%","11.9%",6,"9.0%",16,"23.9%"
"2874","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2009,"6 Year",67,45,"67.2%",39,"58.2%","86.7%",1,"1.5%","2.2%",38,"56.7%","84.4%",6,"9.0%","13.3%",3,"4.5%",16,"23.9%"
"2875","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2010,"4 Year  June",57,22,"38.6%",22,"38.6%","100.0%",1,"1.8%","4.5%",21,"36.8%","95.5%",0,"0.0%","0.0%",24,"42.1%",11,"19.3%"
"2876","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2010,"4 Year August",57,27,"47.4%",25,"43.9%","92.6%",1,"1.8%","3.7%",24,"42.1%","88.9%",2,"3.5%","7.4%",19,"33.3%",11,"19.3%"
"2877","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2010,"5 Year  June",51,30,"58.8%",28,"54.9%","93.3%",1,"2.0%","3.3%",27,"52.9%","90.0%",2,"3.9%","6.7%",8,"15.7%",13,"25.5%"
"2878","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2010,"5 Year August",51,30,"58.8%",28,"54.9%","93.3%",1,"2.0%","3.3%",27,"52.9%","90.0%",2,"3.9%","6.7%",8,"15.7%",13,"25.5%"
"2879","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2011,"4 Year  June",65,32,"49.2%",24,"36.9%","75.0%",0,"0.0%","0.0%",24,"36.9%","75.0%",8,"12.3%","25.0%",20,"30.8%",13,"20.0%"
"2880","03M283","MANHATTAN THEATRE LAB HIGH SCHOOL",2011,"4 Year August",65,32,"49.2%",24,"36.9%","75.0%",0,"0.0%","0.0%",24,"36.9%","75.0%",8,"12.3%","25.0%",20,"30.8%",13,"20.0%"
"2881","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2004,"4 Year  June",4,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2882","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2004,"5 Year  June",3,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2883","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2004,"6 Year",3,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2884","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2005,"4 Year  June",99,45,"45.5%",37,"37.4%","82.2%",0,"0.0%","0.0%",37,"37.4%","82.2%",8,"8.1%","17.8%",39,"39.4%",11,"11.1%"
"2885","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2005,"4 Year August",99,56,"56.6%",42,"42.4%","75.0%",0,"0.0%","0.0%",42,"42.4%","75.0%",14,"14.1%","25.0%",28,"28.3%",11,"11.1%"
"2886","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2005,"5 Year  June",92,60,"65.2%",42,"45.7%","70.0%",0,"0.0%","0.0%",42,"45.7%","70.0%",18,"19.6%","30.0%",5,"5.4%",20,"21.7%"
"2887","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2005,"6 Year",90,63,"70.0%",44,"48.9%","69.8%",0,"0.0%","0.0%",44,"48.9%","69.8%",19,"21.1%","30.2%",1,"1.1%",20,"22.2%"
"2888","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2006,"4 Year  June",89,55,"61.8%",49,"55.1%","89.1%",1,"1.1%","1.8%",48,"53.9%","87.3%",6,"6.7%","10.9%",25,"28.1%",7,"7.9%"
"2889","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2006,"4 Year August",89,70,"78.7%",57,"64.0%","81.4%",1,"1.1%","1.4%",56,"62.9%","80.0%",13,"14.6%","18.6%",11,"12.4%",7,"7.9%"
"2890","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2006,"5 Year  June",86,74,"86.0%",59,"68.6%","79.7%",1,"1.2%","1.4%",58,"67.4%","78.4%",15,"17.4%","20.3%",0,"0.0%",11,"12.8%"
"2891","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2006,"5 Year August",86,74,"86.0%",59,"68.6%","79.7%",1,"1.2%","1.4%",58,"67.4%","78.4%",15,"17.4%","20.3%",0,"0.0%",11,"12.8%"
"2892","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2006,"6 Year",87,75,"86.2%",60,"69.0%","80.0%",1,"1.1%","1.3%",59,"67.8%","78.7%",15,"17.2%","20.0%",0,"0.0%",11,"12.6%"
"2893","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2007,"4 Year  June",87,42,"48.3%",28,"32.2%","66.7%",1,"1.1%","2.4%",27,"31.0%","64.3%",14,"16.1%","33.3%",21,"24.1%",17,"19.5%"
"2894","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2007,"4 Year August",87,51,"58.6%",34,"39.1%","66.7%",1,"1.1%","2.0%",33,"37.9%","64.7%",17,"19.5%","33.3%",13,"14.9%",17,"19.5%"
"2895","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2007,"5 Year  June",84,53,"63.1%",35,"41.7%","66.0%",1,"1.2%","1.9%",34,"40.5%","64.2%",18,"21.4%","34.0%",2,"2.4%",22,"26.2%"
"2896","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2007,"5 Year August",84,54,"64.3%",36,"42.9%","66.7%",1,"1.2%","1.9%",35,"41.7%","64.8%",18,"21.4%","33.3%",1,"1.2%",22,"26.2%"
"2897","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2007,"6 Year",79,54,"68.4%",36,"45.6%","66.7%",1,"1.3%","1.9%",35,"44.3%","64.8%",18,"22.8%","33.3%",0,"0.0%",20,"25.3%"
"2898","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2008,"4 Year  June",82,46,"56.1%",44,"53.7%","95.7%",1,"1.2%","2.2%",43,"52.4%","93.5%",2,"2.4%","4.3%",26,"31.7%",8,"9.8%"
"2899","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2008,"4 Year August",82,55,"67.1%",50,"61.0%","90.9%",1,"1.2%","1.8%",49,"59.8%","89.1%",5,"6.1%","9.1%",17,"20.7%",8,"9.8%"
"2900","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2008,"5 Year  June",76,58,"76.3%",53,"69.7%","91.4%",1,"1.3%","1.7%",52,"68.4%","89.7%",5,"6.6%","8.6%",2,"2.6%",14,"18.4%"
"2901","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2008,"5 Year August",76,60,"78.9%",55,"72.4%","91.7%",1,"1.3%","1.7%",54,"71.1%","90.0%",5,"6.6%","8.3%",1,"1.3%",13,"17.1%"
"2902","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2008,"6 Year",76,60,"78.9%",55,"72.4%","91.7%",1,"1.3%","1.7%",54,"71.1%","90.0%",5,"6.6%","8.3%",1,"1.3%",13,"17.1%"
"2903","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2009,"4 Year  June",114,71,"62.3%",60,"52.6%","84.5%",1,"0.9%","1.4%",59,"51.8%","83.1%",11,"9.6%","15.5%",30,"26.3%",11,"9.6%"
"2904","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2009,"4 Year August",114,86,"75.4%",68,"59.6%","79.1%",1,"0.9%","1.2%",67,"58.8%","77.9%",18,"15.8%","20.9%",15,"13.2%",11,"9.6%"
"2905","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2009,"5 Year  June",108,87,"80.6%",69,"63.9%","79.3%",1,"0.9%","1.1%",68,"63.0%","78.2%",18,"16.7%","20.7%",4,"3.7%",14,"13.0%"
"2906","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2009,"5 Year August",108,87,"80.6%",69,"63.9%","79.3%",1,"0.9%","1.1%",68,"63.0%","78.2%",18,"16.7%","20.7%",4,"3.7%",14,"13.0%"
"2907","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2009,"6 Year",109,87,"79.8%",69,"63.3%","79.3%",1,"0.9%","1.1%",68,"62.4%","78.2%",18,"16.5%","20.7%",2,"1.8%",17,"15.6%"
"2908","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2010,"4 Year  June",95,63,"66.3%",51,"53.7%","81.0%",0,"0.0%","0.0%",51,"53.7%","81.0%",12,"12.6%","19.0%",19,"20.0%",13,"13.7%"
"2909","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2010,"4 Year August",95,67,"70.5%",54,"56.8%","80.6%",0,"0.0%","0.0%",54,"56.8%","80.6%",13,"13.7%","19.4%",15,"15.8%",13,"13.7%"
"2910","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2010,"5 Year  June",92,68,"73.9%",55,"59.8%","80.9%",0,"0.0%","0.0%",55,"59.8%","80.9%",13,"14.1%","19.1%",2,"2.2%",22,"23.9%"
"2911","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2010,"5 Year August",92,68,"73.9%",55,"59.8%","80.9%",0,"0.0%","0.0%",55,"59.8%","80.9%",13,"14.1%","19.1%",2,"2.2%",22,"23.9%"
"2912","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2011,"4 Year  June",96,71,"74.0%",68,"70.8%","95.8%",0,"0.0%","0.0%",68,"70.8%","95.8%",3,"3.1%","4.2%",16,"16.7%",7,"7.3%"
"2913","03M299","HIGH SCHOOL FOR ARTS  IMAGINATION AND INQUIRY",2011,"4 Year August",96,76,"79.2%",69,"71.9%","90.8%",0,"0.0%","0.0%",69,"71.9%","90.8%",7,"7.3%","9.2%",11,"11.5%",7,"7.3%"
"2914","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE",2003,"4 Year  June",3,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2915","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE",2003,"5 Year  June",3,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2916","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE",2003,"6 Year",3,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2917","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE",2004,"4 Year  June",79,47,"59.5%",33,"41.8%","70.2%",0,"0.0%","0.0%",33,"41.8%","70.2%",14,"17.7%","29.8%",26,"32.9%",5,"6.3%"
"2918","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE",2004,"5 Year  June",76,56,"73.7%",36,"47.4%","64.3%",0,"0.0%","0.0%",36,"47.4%","64.3%",20,"26.3%","35.7%",4,"5.3%",11,"14.5%"
"2919","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE",2004,"6 Year",76,56,"73.7%",36,"47.4%","64.3%",0,"0.0%","0.0%",36,"47.4%","64.3%",20,"26.3%","35.7%",1,"1.3%",14,"18.4%"
"2920","03M307","URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE",2005,"4 Year  June",92,62,"67.4%",31,"33.7%","50.0%",0,"0.0%","0.0%",31,"33.7%","50.0%",31,"33.7%","50.0%",22,"23.9%",6,"6.5%"
